Name	Probe	K	Merkmal	Verbreitung
Abvenenum reine Speise	KL/KL/FF	C	Objekt	Dru6, Elf6, Hex6, Mag6, Geo5, Ach4, Sch4
Accuratum Zaubernadel	KL/CH/FF	C	Objekt	Mag4, Srl4, Hex2
Adlerauge Luchsenohr	KL/IN/FF	B	Hellsicht, Eigenschaften	Elf7, Ach3, Dru3, Geo3, Hex3, Mag3
Adlerschwinge Wolfsgestalt	MU/IN/GE	D	Form	Elf6, Ach3, Mag3, Dru(Elf)2, Hex(Elf)2
Analys Arcanstruktur	KL/KL/IN	D	Hellsicht, Metamagie	Mag6, Ach3, Dru(Mag)2, Geo(Mag)2, Hex(Mag)2
Ängste lindern	MU/IN/CH	C	Einfluss	Hex7, Geo5, Dru4, Mag4
Arachnea Krabbeltier	MU/IN/CH	D	Herbeirufung	Mag2, Bor1, Hex1
Arcanovi Artefakt	KL/KL/FF	E	Objekt, Metamagie	Ach4, Mag4, Geo2, Hex2, Dru1, Elf1
Armatrutz	IN/GE/KO	B	Eigenschaften, Elementar (Erz)	Elf6, Mag6, Hex3, Dru2
Attributo	KL/CH/*	B	Eigenschaften	Dru5, Elf5, Geo5, Hex5, Mag5, Ach3, Sch3, Srl3
Balsam Salabunde	KL/IN/CH	C	Heilung, Form	Elf7, Mag7, Ach5, Geo5, Dru4, Hex3
Band und Fessel	KL/CH/KK	C	Einfluss	Elf5, Hex4, Dru3, Mag3, Ach2, Bor2, Geo2
Bannbaladin	IN/CH/CH	B	Einfluss	Elf7, Mag6, Dru3, Hex3, Srl(Mag)3
Beherrschung brechen	KL/IN/CH	C	Antimagie, Herrschaft	Dru7, Geo6, Mag6, Hex5, Ach4, Elf4
Beschwörung vereiteln	MU/IN/CH	C	Antimagie, Beschwörung	Mag3, Dru2, Hex2, Elf(Mag)2, Geo(Mag)2
Bewegung stören	KL/IN/FF	C	Antimagie, Telekinese	Mag5, Elf4, Sch4, Hex3
Blick aufs Wesen	KL/IN/CH	C	Hellsicht	Elf6, Geo5, Mag5, Ach4, Dru4, Hex4
Blick in die Gedanken	KL/KL/CH	D	Hellsicht	Elf5, Mag5, Ach4, Dru4, Hex4, Geo3
Blitz dich find	KL/IN/GE	B	Einfluss	Elf7, Mag6, Dru5, Hex5, Ach4, Geo4, Sch4, Srl4
Böser Blick	MU/CH/CH	C	Einfluss	Dru7, Geo6, Ach5, Bor2, Hex(Dru)2, Mag(Dru)2, Mag2
Chamaelioni Mimikry	IN/CH/GE	C	Illusion	Elf5, Hex(Elf)3, Mag(Elf)3
Chimaeroform Hybridgestalt	KL/IN/KO	F	Dämonisch (Asfaloth), Form	Mag2, Hex1
Claudibus Clavistibor	KL/FF/KK	C	Objekt	Mag6, Hex5, Srl5, Dru(Hex)2, Elf(Mag)2, Sch(Mag)2
Corpofesso Gliederschmerz	KL/KO/KK	C	Eigenschaften	Mag4, Elf(Mag)2, Hex(Mag)2
Cryptographo Zauberschrift	KL/KL/IN	C	Objekt, Verständigung	Mag6, Ach2, Hex(Mag)2, Srl(Mag)2
Dunkelheit	KL/KL/FF	C	Umwelt	Dru7, Geo4, Mag4, Sch4, Ach3, Hex3, Srl(Mag)3, Elf2
Eigenschaft wiederherstellen	KL/IN/CH	C	Antimagie, Eigenschaften	Hex6, Ach5, Dru5, Geo5, Mag5, Elf5
Einfluss bannen	IN/CH/CH	B	Antimagie, Einfluss	Dru6, Geo6, Hex6, Ach5, Elf5, Mag4, Sch4, Srl3
Eins mit der Natur	IN/GE/KO	C	Eigenschaften, Elementar (allgemein)	Geo7, Dru5, Elf2, Hex(Geo)2, Mag(Dru)2
Exposami Lebenskraft	KL/IN/IN	B	Hellsicht	Elf6, Ach4, Dru4, Geo4, Hex3, Mag3
Flim Flam Funkel	KL/KL/FF	A	Umwelt	Ach7, Elf7, Mag7, Dru6, Hex6, Geo5, Sch4, Srl(Mag)4
Fluch der Pestilenz	MU/KL/CH	D	Dämonisch (Mishkara)	Dru5, Bor2, Hex2, Mag(Dru)2
Fulminictus Donnerkeil	IN/GE/KO	C	Schaden, Kraft	Elf7, Mag5, Hex(Mag)2
Gefunden!	KL/IN/GE	C	Hellsicht	Sch5, Ach3, Hex3, Mag3, Srl(Sch)3
Geisterbann	MU/MU/CH	C	Antimagie, Geisterwesen	Dru7, Mag5, Geo4, Hex4
Geisterruf	MU/MU/CH	D	Geisterwesen, Herbeirufung	Dru6, Geo3, Hex3, Mag3
Große Gier	KL/KL/CH	C	Einfluss, Herrschaft	Hex7, Geo3
Halluzination	KL/IN/CH	C	Herrschaft	Dru5, Geo4, Hex(Dru)2, Mag(Dru)2, Srl(Geo)2
Harmlose Gestalt	KL/CH/GE	C	Einfluss, Illusion	Hex7, Ach3, Dru3, Mag3, Sch3, Srl3, Elf2
Haselbusch und Ginsterkraut	CH/FF/KO	D	Eigenschaften, Elementar (Humus), Form	Elf5, Geo3, Dru(Elf)2, Hex(Elf)2, Mag(Elf)2
Heilkraft bannen	KL/CH/FF	C	Antimagie, Heilung	Bor2, Mag2, Hex(Mag)2
Hellsicht trüben	KL/IN/CH	C	Antimagie, Hellsicht	Dru6, Geo6, Mag5, Sch5, Ach4, Elf4, Hex4, Srl3
Herbeirufung vereiteln	MU/IN/CH	C	Antimagie, Herbeirufung	Dru3, Mag3, Hex2
Herr über das Tierreich	MU/MU/CH	D	Herrschaft	Dru7, Geo6, Elf3, Hex3, Ach2, Mag2
Hexenblick	IN/IN/CH	B	Verständigung	Hex7, Bor3
Hexengalle	MU/IN/CH	C	Schaden	Ach3, Hex3
Hexenholz	KL/FF/KK	B	Telekinese	Hex7
Hexenknoten	KL/IN/CH	C	Einfluss, Illusion	Hex7, Dru(Hex)2, Mag(Hex)2, Srl(Hex)2
Hexenkrallen	MU/IN/KO	C	Eigenschaften, Form	Hex3
Hexenspeichel	IN/CH/FF	C	Heilung	Hex7, Geo5, Mag(Hex)2
Horriphobus Schreckgestalt	MU/IN/CH	C	Einfluss	Mag6, Bor4, Dru3, Hex(Dru)2, Srl1
Illusion auflösen	KL/IN/CH	B	Antimagie, Illusion	Mag5, Srl4, Hex3, Sch3
Invocatio maior	MU/MU/CH	E	Beschwörung, Dämonisch (allgemein)	Bor5, Mag5, Hex3, Dru2
Invocatio minor	MU/MU/CH	D	Beschwörung, Dämonisch (allgemein)	Mag5, Ach4, Bor4, Hex4, Dru2
Katzenaugen	KL/FF/KO	C	Eigenschaften	Hex4, Elf3
