Name	Probe	K	Merkmal	Verbreitung
Abvenenum reine Speise	KL/KL/FF	C	Objekt	Dru6, Elf6, Hex6, Mag6, Geo5, Ach4, Sch4
Accuratum Zaubernadel	KL/CH/FF	C	Objekt	Mag4, Srl4, Hex2
Adamantium Erzstruktur	KL/FF/KO	C	Elementar (Erz), Objekt	Ach6, Mag5
Adlerauge Luchsenohr	KL/IN/FF	B	Hellsicht, Eigenschaften	Elf7, Ach3, Dru3, Geo3, Hex3, Mag3
Adlerschwinge Wolfsgestalt	MU/IN/GE	D	Form	Elf6, Ach3, Mag3, Dru(Elf)2, Hex(Elf)2
Aeolitus Windgebraus	KL/CH/KO	B	Umwelt, Elementar (Luft)	Elf7, Ach5, Dru5, Mag5, Geo4, Sch3, Srl3
Aerofugo Vakuum	MU/KO/KK	D	Umwelt, Elementar (Luft)	Ach2, Mag2
Aerogelo Atemqual	MU/IN/KO	D	Umwelt, Elementar (Luft)	Mag2
Analys Arcanstruktur	KL/KL/IN	D	Hellsicht, Metamagie	Mag6, Ach3, Dru(Mag)2, Geo(Mag)2, Hex(Mag)2
Ängste lindern	MU/IN/CH	C	Einfluss	Hex7, Geo5, Dru4, Mag4
Animatio stummer Diener	KL/FF/GE	E	Telekinese	Mag3
Applicatus Zauberspeicher	KL/FF/FF	C	Objekt, Metamagie	Ach3, Mag3, Srl3
Aquafaxius	KL/FF/KO	C	Schaden, Elementar (Wasser)	Geo2, Mag2, Ach2
Aquasphaero	MU/IN/KO	D	Telekinese, Elementar (Wasser), Schaden	Ach2, Mag2, Geo1
Arachnea Krabbeltier	MU/IN/CH	D	Herbeirufung	Mag2, Bor1, Hex1
Arcanovi Artefakt	KL/KL/FF	E	Objekt, Metamagie	Ach4, Mag4, Geo2, Hex2, Dru1, Elf1
Archofaxius	KL/FF/KO	C	Schaden, Elementar (Erz)	Geo2, Mag2, Ach2
Archosphaero	MU/IN/KO	D	Telekinese, Elementar (Erz), Schaden	Ach2, Mag2, Geo1
Armatrutz	IN/GE/KO	B	Eigenschaften, Elementar (Erz)	Elf6, Mag6, Hex3, Dru2
Attributo	KL/CH/*	B	Eigenschaften	Dru5, Elf5, Geo5, Hex5, Mag5, Ach3, Sch3, Srl3
Auge des Limbus	MU/KO/KK	E	Limbus, Kraft	Mag2, Ach1
Aureolus Güldenglanz	IN/CH/FF	A	Illusion	Srl6, Mag4
Auris Nasus Oculus	KL/CH/FF	D	Illusion	Mag5, Srl5
Axxeleratus Blitzgeschwind	KL/GE/KO	C	Eigenschaften	Elf6, Ach5, Sch5, Mag3
Balsam Salabunde	KL/IN/CH	C	Heilung, Form	Elf7, Mag7, Ach5, Geo5, Dru4, Hex3
Band und Fessel	KL/CH/KK	C	Einfluss	Elf5, Hex4, Dru3, Mag3, Ach2, Bor2, Geo2
Bannbaladin	IN/CH/CH	B	Einfluss	Elf7, Mag6, Dru3, Hex3, Srl(Mag)3
Bärenruhe Winterschlaf	MU/KK/KO	D	Form	Elf4, Ach3, Mag(Elf)3
Beherrschung brechen	KL/IN/CH	C	Antimagie, Herrschaft	Dru7, Geo6, Mag6, Hex5, Ach4, Elf4
Beschwörung vereiteln	MU/IN/CH	C	Antimagie, Beschwörung	Mag3, Dru2, Hex2, Elf(Mag)2, Geo(Mag)2
Bewegung stören	KL/IN/FF	C	Antimagie, Telekinese	Mag5, Elf4, Sch4, Hex3
Blendwerk	IN/CH/GE	C	Illusion	Sch7, Mag(Sch)3, Srl(Sch)3
Blick aufs Wesen	KL/IN/CH	C	Hellsicht	Elf6, Geo5, Mag5, Ach4, Dru4, Hex4
Blick durch fremde Augen	MU/IN/CH	E	Hellsicht, Verständigung	Dru3, Mag(Dru)2
Blick in die Gedanken	KL/KL/CH	D	Hellsicht	Elf5, Mag5, Ach4, Dru4, Hex4, Geo3
Blick in die Vergangenheit	KL/KL/IN	D	Hellsicht, Temporal	Dru3, Geo3, Mag(Dru)2
Blitz dich find	KL/IN/GE	B	Einfluss	Elf7, Mag6, Dru5, Hex5, Ach4, Geo4, Sch4, Srl4
Böser Blick	MU/CH/CH	C	Einfluss	Dru7, Geo6, Ach5, Bor2, Hex(Dru)2, Mag(Dru)2, Mag2
Brenne toter Stoff!	MU/KL/KO	C	Objekt, Elementar (Feuer)
Bor: Objekt, Dämonisch (Agrimoth)	Bor6, Ach3, Mag3
Caldofrigo heiß und kalt	IN/CH/KO	E	Objekt, Umwelt, Elementar (Feuer), Elementar (Eis)	Ach4, Mag4, Geo3, Dru2
Chamaelioni Mimikry	IN/CH/GE	C	Illusion	Elf5, Hex(Elf)3, Mag(Elf)3
Chimaeroform Hybridgestalt	KL/IN/KO	F	Dämonisch (Asfaloth), Form	Mag2, Hex1
Claudibus Clavistibor	KL/FF/KK	C	Objekt	Mag6, Hex5, Srl5, Dru(Hex)2, Elf(Mag)2, Sch(Mag)2
Corpofesso Gliederschmerz	KL/KO/KK	C	Eigenschaften	Mag4, Elf(Mag)2, Hex(Mag)2
Corpofrigo Kälteschock	CH/GE/KO	C	Eigenschaften, Elementar (Eis)	Ach6, Mag4
Cryptographo Zauberschrift	KL/KL/IN	C	Objekt, Verständigung	Mag6, Ach2, Hex(Mag)2, Srl(Mag)2
Custodosigil Diebesbann	KL/FF/FF	C	Objekt, Metamagie, Elementar (Feuer)	Ach6, Mag6, Srl(Mag)3
Dämonenbann	MU/CH/KO	C	Antimagie, Dämonisch (allgemein)	Mag2
Delicioso Gaumenschmaus	KL/CH/FF	D	Illusion	Mag4, Sch3, Srl3
Desintegratus Pulverstaub	KL/KO/KK	D	Objekt, Schaden	Mag3
Destructibo Arcanitas	KL/KL/FF	E	Antimagie, Metamagie, Kraft	Mag3, Ach2, Elf2, Dru(Mag)2
Dschinnenruf	MU/KL/CH	E	Elementar (allgemein), Herbeirufung	Mag4, Dru3, Geo3
Dunkelheit	KL/KL/FF	C	Umwelt	Dru7, Geo4, Mag4, Sch4, Ach3, Hex3, Srl(Mag)3, Elf2
Duplicatus Doppelbild	KL/CH/GE	C	Illusion	Mag6, Srl6
Ecliptifactus Schattenkraft	MU/KL/KO	D	Dämonisch (allgemein), Form	Mag3, Bor2
Eigenschaft wiederherstellen	KL/IN/CH	C	Antimagie, Eigenschaften	Hex6, Ach5, Dru5, Geo5, Mag5, Elf5
Eigne Ängste quälen dich!	MU/IN/CH	C	Einfluss, Eigenschaften
Bor: Einfluss, Dämonisch (Amazeroth)	Bor6, Mag2
